#iID	iAbilityType	sAbilityID	sBookTip	sBookImage	sLink
10326	4	五加皮	这是一味中药；有祛风湿，补益肝肾，强筋壮骨，利水消肿的作用。	i00054	3,3
10327	4	肥皂荚	中药材之一；疗无名肿毒，有奇功。	i00055	3,3
10328	4	血竭	中药材之一；和血，敛疮。专除血痛，散瘀生新，为和血之圣药。	i00056	3,3
10329	4	牛黄	这是一味中药；表面金黄至黄褐色，细腻而有光泽。可用于解热、解毒、定惊。	i00057	3,3
10330	4	犀角	中药材之一；品质以乌而光润者胜，角尖尤胜。	i00058	3,3
10331	4	羚羊角	中药材之一；功用为清肝，袪风舒筋，泻热，散血，降火，解诸毒。	i00059	3,3
10332	4	鹿茸	中药材之一；能大补阳虚。生精补髓，养血助阳，强筋健骨。	i00060	3,3
10333	4	麝香	中药材之一；功用为开经络，通诸窍，透肌骨，暖水藏。	i00061	3,3
10334	4	燕窝	这是一味中药；用于养阴润燥，益气补中，化痰止咳。	i00062	3,3
10335	4	鳖甲	这是一味中药；中药药材的一种，具有滋阴潜阳，退热除蒸。多用于阴虚发热，骨蒸劳热。	i00063	3,3
10336	4	冬虫夏草	这是一味中药；为平补肺肾之佳品，功能补肾益肺、止血化痰、止咳平喘，尤为劳嗽痰血多用。	i00064	3,3
10337	4	甘草	这是一味中药；气微，味甜而特殊。功能主治清热解毒、祛痰止咳、脘腹等。	i00065	3,3
10338	4	采药	[5E0B08]锄头可以用来采药。[-]森林中有些植物可以用来治疗病痛，这些植物称为草药。[5E0B08]采集的草药还可用来炼丹。[-]	i10024	3,3
10400	5	炼丹	[5E0B08]炼丹需有材料才可进行。[-]当炼丹成功时有机会获得多颗丹药。炼丹的要诀是将相同材料混合，混合至指定的目标后方口完成。[5E0B08]炼丹获得丹药可用于战斗中使用。[-]	i10025	3,4
10401	5	逍遥丹	[5E0B08]逍遥丹[-]的功能可以恢复气血一千点，内力一千点。制作需当归一份，红花二份。	i10151	3,4
10402	5	再造膏	[5E0B08]再造膏[-]的功能可以恢复气血二千点。制作需延胡索一份，蒲黄一份，刘寄奴草一份。	i10152	3,4
10403	5	双冲饮	制作需求：炼丹四十。[5E0B08]双冲饮[-]的功能可以恢复气血五成，内力五成。制作需仙鹤草一份，茯神一份，冬虫夏草一份，麝香一份。	i10153	3,4
10404	5	三顺散	制作需求：炼丹六十。[5E0B08]三顺散[-]的功能可以恢复气血一千五百点，恢复内力七百点，解负向状态一个。制作需血竭一份，附子一份，肥皂荚一份，鹿茸一份。	i10154	3,4
10405	5	生脉丹	制作需求：炼丹二十。[5E0B08]生脉丹[-]的功能可以恢复内力三成，持续三回合。制作需甘草二份，人参二份。	i10155	3,4
10406	5	承气饮	制作需求：炼丹二十。[5E0B08]承气饮[-]的功能可以恢复气血三成，持续三回合。制作需黄耆二份，黄精二份，茯苓一份，刘寄奴草一份。	i10156	3,4
10407	5	白虎散	制作需求：炼丹三十。[5E0B08]白虎散[-]的功能可以解三个负向状态。制作需荠苨一份，黄莲一份，肥皂荚一份。	i10157	3,4
10408	5	青龙散	制作需求：炼丹四十。[5E0B08]青龙散[-]的功能可以提高暴击率、提高命中。制作需金银花一份，山豆根一份，肥皂夹一份。	i10158	3,4
10409	5	九转还魂丹	制作需求：炼丹八十。[5E0B08]九转还魂丹[-]的功能是可以将生命恢复到全满。制作需鳖甲一份，鹿茸二份，血竭二份，仙鹤草一份，刘寄奴草一份。	i10159	3,4
10410	5	生生造化丹	制作需求：炼丹一百。[5E0B08]生生造化丹[-]乃灵丹妙药，据说可以起死回生。制作需兔儿草一份，肉桂二份，五加皮二份，荠苨二份，牛黄二份。	i00307	3,4
10500	6	打铁	[5E0B08]打铁需有材料才可进行。[-]打铁的要诀是将相同材料融合，融合至指定的目标后方口完成。[5E0B08]打铁获得装备可用于战斗中使用。[-]	i10026	3,5
10501	6	短剑图	短剑需要八份铁矿石才能铸造。︻短剑杀伤力：15︼	i10201	3,5
10502	6	长剑图	长剑需要十二份铁矿石，四份铜矿石才能铸造。︻长剑杀伤力：25︼	i10202	3,5
10503	6	重剑图	制作需求：打铁三十。重剑需要二十份铁矿石，十份铜矿石，五份黑晶矿才能铸造。︻重剑杀伤力：45、防御力：30︼	i10203	3,5
10504	6	莲花剑图	制作需求：打铁五十。莲花剑需要十份黑晶矿，四份白晶矿，二份黄晶矿才能铸造。︻莲花剑杀伤力：60、闪避：10%︼	i10204	3,5
10505	6	傲天神剑图	制作需求：打铁九十。傲天神剑需要十份蓝晶矿，五份绝龙骨，二份钛金属才能铸造。<br>攻击：200，状态：[5E0B08]睥睨天下[-]，暴击提升20%、暴击时破甲，周身一格敌方攻击、防御降低15%	i10205	3,5
10506	6	朴刀图	朴刀需要十份铁矿石才能铸造。︻朴刀杀伤力：25︼	i10206	3,5
10507	6	柳叶刀图	制作需求：打铁二十。柳叶刀需要六份铁矿石，五份铜矿石，一份黑晶矿才能铸造。︻柳叶刀杀伤力：60︼	i10207	3,5
10508	6	九环刀图	制作需求：打铁四十。九环刀需要十份铁矿石，十份铜矿石，十份黑晶矿才能铸造。︻九环刀杀伤力：90︼	i10208	3,5
10509	6	噬日刀图	制作需求：打铁六十。噬日刀需要二十份白晶矿，十份黄晶矿，五份红晶矿才能铸造。︻噬日刀杀伤力：90、噬气︼	i10209	3,5
10510	6	太皇图	制作需求：打铁八十。太皇需要十份红晶矿，五份蓝晶矿，一份绝龙骨才能铸造。<br>攻击：190，状态：[5E0B08]太古之皇[-]反击20%，反击时获得霸体	i10210	3,5
10511	6	铁棍图	铁棍需要十份铁矿石，二份铜矿石才能铸造。︻铁棍杀伤力：60︼	i10211	3,5
10512	6	阴阳棍图	制作需求：打铁二十。阴阳棍需要五份黑晶矿，五份白晶矿才能铸造。︻阴阳棍杀伤力：50、反击：10%︼	i10212	3,5
10513	6	紫晶图	制作需求：打铁八十。紫晶笔需要二十份铁矿石，五份红晶矿，五份蓝晶矿才能铸造。︻紫晶笔杀伤力：120、暴击：20%︼	i10213	3,5
10514	6	梅花镖图	制作需求：打铁五十。梅花镖需要二十份铁矿石，十份铜矿石才能铸造。︻梅花镖杀伤力：60︼	i10214	3,5
10515	6	巨阙剑图	制作需求：打铁六十。巨阙剑需要十份白晶矿，五份黄晶矿，二份红晶矿才能铸造。︻巨阙剑杀伤力：110、防御：100︼	i10215	3,5
10516	6	太虚剑图	制作需求：打铁七十。太虚剑需要五份黄晶矿，五份红晶矿，四份蓝晶矿才能铸造。︻太虚剑杀伤力：75、反击：25%︼	i10216	3,5
10517	6	圆月弯刀图	圆月弯刀需要十份黑晶矿，十五份白晶矿，二份黄晶矿才能铸造。︻圆月弯刀杀伤力：80、暴击7%︼	i10217	3,5
10518	6	碎宇刀图	制作需求：打铁六十。碎宇刀需要五份红晶矿，四份蓝晶矿，二份绝龙骨才能铸造。︻碎宇刀杀伤力：70、中毒︼	i10218	3,5
10519	6	升龙棍图	制作需求：打铁八十。升龙棍需要十份黄晶矿，二份绝龙骨，二份钛金属才能铸造。︻升龙棍杀伤力：125、防御力：200、状态：神龙︼	i10219	3,5
10520	6	打磨含光剑	制作需求：打铁六十。打磨含光剑需要一把老旧的含光剑，十份白晶矿，十份蓝晶矿，一份钛金属才能铸造。︻含光剑杀伤力：80、反击率：10%︼	i00326	3,5
10521	6	纹饰短剑	制作需求：打铁三十、绘画三十，短剑一把。剑身铸有花纹样式，使其更加美观外又具有文化意义。︻杀伤力：15︼	i00322	3,5
10522	6	精炼长剑	制作需求：打铁四十，长剑一把、十份黑晶矿。精炼后的长剑，剑刃锋利异常，吹毛立断。︻杀伤力：55，状态：破甲︼	i00323	3,5
10523	6	斩马巨剑	制作需求：打铁五十，重剑一把、斩马剑一把、五份白晶矿。改造过后的斩马剑，威力更为惊人，同时具有防御效果，只有强健的体魄才能运用自如。︻杀伤力：80，防御力：70，需求：气血3000︼	i00334	3,5
10524	6	青铜马	制作需求：打铁三十、绘画五十、铜矿十份。将马的形体姿态塑造的细致生动，栩栩如生，早为古代贵族用陪葬品，相当具有艺术价值。	i00484	3,5
10525	6	锡器	制作需求：打铁五十、炼丹五十、铜矿二十份。锡器平和柔滑的特性，历久长新的光泽，且密封性优良，适合运用在各种器具上，无论是茶器、酒器、或是作成用来储存的器皿，皆受到许多人们喜爱。	i00198	3,5
10526	6	玄铁剑	制作需求：打铁五十，玄铁石一份。由玄铁石所铸造而成，极其沉重，内力深厚者，方能运用自如。︻杀伤力：150，状态：天火，需求：内力7000︼	i00700	3,5
10527	6	玄铁刀	制作需求：打铁五十，玄铁石一份。由玄铁石所铸造而成，极其沉重，内力深厚者，方能运用自如。︻杀伤力：160，状态：天火，需求：内力7000︼	i00701	3,5
10528	6	玄铁棍	制作需求：打铁五十，玄铁石一份。由玄铁石所铸造而成，极其沉重，内力深厚者，方能运用自如。︻杀伤力：120，状态：天火，需求：内力7000︼	i00702	3,5
10529	6	玄铁笔	制作需求：打铁五十，玄铁石一份。由玄铁石所铸造而成，极其沉重，内力深厚者，方能运用自如。︻杀伤力：100，状态：天火，需求：内力7000︼	i00704	3,5
10530	6	玄铁弹	制作需求：打铁五十，玄铁石一份。由玄铁石所铸造而成，极其沉重，内力深厚者，方能运用自如。︻杀伤力：30，状态：天火，需求：内力7000︼	i00703	3,5
10531	6	玄铁手套	制作需求：打铁五十，玄铁石一份。由玄铁石所铸造而成，极其沉重，需要内力深厚者，方能运用自如。︻杀伤力：70，减伤：5%，状态：天火，需求：内力7000︼	i00706	3,5
10532	6	玄铁冑甲	制作需求：打铁五十，玄铁石一份。由玄铁石所铸造而成，极其沉重，内力深厚者，方能运用自如。︻防御：500，状态：天火，需求：内力7000︼	i00705	3,5
10533	6	玄铁双剑	制作需求：打铁八十，玄铁石一份。同时使用两把玄铁剑，需要无比深厚的内力才能运用自如。︻杀伤力：150，暴击：7%，状态：天火之力，需求：内力7000︼	i00714	3,5
10534	6	玄铁刀剑	制作需求：打铁八十，玄铁剑和玄铁刀各一把。同时使用玄铁剑和玄铁刀，需要无比深厚的内力才能运用自如。︻杀伤力：160，反击：15%，状态：天火之力，需求：内力7000︼	i00715	3,5
10535	6	易水寒	制作需求：打铁一百，古剑和青铜剑各一把，钛金属10份。<br>攻击：六十<br>状态：图穷匕见<br>暴击率提升50%、神行	i00321	3,5
10536	6	赤霄	制作需求：打铁一百，长剑和铁剑各一把，钛金属10份。<br>攻击：一百二十<br>状态：高祖斩蛇<br>抗毒，暴击时净化；周围一格友军提升攻击力30%	i00332	3,5
10537	6	金刚	制作需求：打铁一百，重剑一把，钛金属10份。<br>攻击：一百<br>状态：金刚怒目<br>需求：气血五千<br>横练，反击成功时附加狂暴	i00324	3,5
10538	6	慈乌夜啼	制作需求：打铁一百，子母剑一把，钛金属10份。<br>攻击：九十<br>状态：慈乌反哺<br>击中敌人时，吸收气内15%	i00325	3,5
10539	6	含光	制作需求：打铁一百，含光剑一把，钛金属10份。<br>攻击：一百一十<br>状态：经物不觉<br>暴击率提升15%、暴击时对手损失10%气血	i00326	3,5
10540	6	承影	制作需求：打铁一百，承影剑一把，钛金属10份。<br>攻击：一百三十<br>状态：莫有其状<br>闪避率提升15%、闪避时对手损失10%气血	i00327	3,5
10541	6	宵练	制作需求：打铁一百，宵练剑一把，钛金属10份。<br>攻击：一百五十<br>状态：兵不血刃<br>免疫暴击、每次攻击时对手损失5%气血	i00328	3,5
10542	6	祝由	制作需求：打铁一百，催眠剑一把，钛金属10份。<br>攻击：一百二十<br>状态：咒禁<br>定身、必定命中、周围一格同伴命中提升100%	i00329	3,5
10543	6	断肠	制作需求：打铁一百，骨尺剑一把，钛金属10份。<br>攻击：一百一十<br>状态：剧毒	i00330	3,5
10544	6	百炼	制作需求：打铁一百，精钢剑一把，钛金属10份。<br>攻击：一百<br>状态：千锤百炼<br>免疫暴击、免疫反击、免疫晕眩	i00333	3,5
10545	6	天狗	制作需求：打铁一百，斩马剑一把，钛金属10份。<br>攻击：一百二十<br>需求：气血五千<br>状态：蚀日<br>噬气，恐惧	i00354	3,5
10546	6	风满楼	制作需求：打铁一百，清风剑一把，钛金属10份。<br>攻击：一百二十<br>状态：山雨欲来<br>反击、闪避、暴击，累进2至3%，最高20%	i00335	3,5
10547	6	君子剑	制作需求：打铁一百，莲花剑一把，钛金属10份。<br>攻击：一百二十<br>状态：步步生莲<br>闪避提升15%；周围一格内友方恢复10%气血内力	i00336	3,5
10548	6	紫薇	制作需求：打铁一百，盘月剑一把，钛金属10份。<br>攻击：一百四十<br>状态：柔弱处上<br>反击提升20%、无视	i00337	3,5
10549	6	长生诀	制作需求：打铁一百，九真剑一把，钛金属10份。<br>攻击：一百三十<br>状态：道法自然<br>每次攻击获得净化，反击后聚气	i00338	3,5
10550	6	巨阙	制作需求：打铁一百，巨阙剑一把，钛金属10份。<br>攻击：一百六十，防御：一百，需求：气血八千<br>状态：穿釜绝粝<br>无视、周身一格内敌方防御降低30%	i00340	3,5
10551	6	青冥	制作需求：打铁一百，青冥剑一把，钛金属10份。<br>攻击：一百五十<br>状态：破甲、目盲	i00341	3,5
10552	6	七星龙泉	制作需求：打铁一百，龙渊剑一把，钛金属10份。<br>攻击：一百六十<br>状态：登高临渊<br>暴击10%、反击10%、闪避10%	i00342	3,5
10553	6	太虚	制作需求：打铁一百，太虚剑一把，钛金属10份。<br>攻击：一百二十<br>状态：剑气纵横<br>周围一格内敌方单位每回合受到剑气伤害，损失8%气血	i00343	3,5
10554	6	梁山泊	制作需求：打铁一百，朴刀一把，钛金属10份。<br>攻击：一百零八<br>特效:天罡地煞<br>攻击灵气30%，暴击时狂暴	i00345	3,5
10555	6	鸣沙	制作需求：打铁一百，弯刀一把，钛金属10份。<br>攻击：一百一十<br>状态：默葬<br>神行、连斩	i00358	3,5
10556	6	灞刀	制作需求：打铁一百，柳叶刀一把，钛金属10份。<br>攻击：一百二十<br>状态：柳下借荫<br>卸劲，闪避时归元	i00347	3,5
10557	6	百炼	制作需求：打铁一百，百炼刀一把，钛金属10份。<br>攻击：一百一十<br>千锤百炼<br>免疫暴击、免疫反击、免疫晕眩	i00348	3,5
10558	6	青犊	制作需求：打铁一百，青犊刀一把，钛金属10份。<br>攻击：一百<br>状态：犊不畏虎<br>攻击增加30至50%；命中的目标获得[5E0B08]「老江湖」[-]状态	i00349	3,5
10559	6	漏景	制作需求：打铁一百，漏景刀一把，钛金属10份。<br>攻击：一百四十<br>免疫反击<br>状态：如烟似云<br>闪避15%，闪避灵气10%，免疫反击	i00350	3,5
10560	6	琅玕	制作需求：打铁一百，铁刀一把，钛金属10份。<br>攻击：一百六十<br>状态：参侍<br>暴击10%、反击10%、闪避10%	i00352	3,5
10561	6	乌越	制作需求：打铁一百，精钢刀一把，钛金属10份。<br>攻击：一百三十<br>状态：乌越<br>噬气、吸血灵气50%	i00353	3,5
10562	6	伐攘	制作需求：打铁一百，陌刀一把，钛金属10份。<br>攻击：一百五十<br>需求：气血五千<br>状态：伐攘<br>破甲、周身二格敌方降防30、15%	i00354	3,5
10563	6	歃血	制作需求：打铁一百，环柄刀一把，钛金属10份。<br>攻击：120<br>状态：噬气，流血	i00355	3,5
10564	6	连城	制作需求：打铁一百，九环刀一把，钛金属10份。<br>攻击：一百三十<br>状态：连城<br>恐惧、周身一格友方防御30%	i00356	3,5
10565	6	村正	制作需求：打铁一百，太刀一把，钛金属10份。<br>攻击：一百六十<br>状态：噬气，破甲	i00357	3,5
10566	6	兆黎	制作需求：打铁一百，圆月弯刀一把，钛金属10份。<br>攻击：一百五十<br>状态：暴击25%	i00346	3,5
10567	6	鸿猷	制作需求：打铁一百，大夏龙凤刀一把，钛金属10份。<br>攻击：一百四十<br>状态：重伤、目盲	i00359	3,5
10568	6	谦光	制作需求：打铁一百，神术一把，钛金属10份。<br>攻击：一百五十<br>状态：谦光<br>无视、反击灵气15%	i00361	3,5
10569	6	黑穹	制作需求：打铁一百，噬日刀一把，钛金属10份。<br>攻击：一百一十<br>状态：噬气、吸星	i00362	3,5
10570	6	斩魄	制作需求：打铁一百，修罗刀一把，钛金属10份。<br>攻击：一百六十<br>状态：恐惧、散功	i00363	3,5
10571	6	八岐	制作需求：打铁一百，碎宇刀一把，钛金属10份。<br>攻击：一百二十<br>状态：剧毒	i00364	3,5
10572	6	璞缘	制作需求：打铁一百，木棍一把，钛金属10份。<br>攻击：一百<br>状态：璞缘<br>反击后净化，闪避时卸劲	i00372	3,5
10573	6	枭羽	制作需求：打铁一百，齐眉棍一把，钛金属10份。<br>攻击：一百二十<br>状态：枭羽<br>神行、闪避、周围一格内友方获得闪避、神行	i00373	3,5
10574	6	禅心	制作需求：打铁一百，四平棍一把，钛金属10份。<br>攻击：一百一十<br>状态：禅心<br>反击15%，免疫暴击、免疫晕眩	i00374	3,5
10575	6	煌荣	制作需求：打铁一百，铁棍一把，钛金属10份。<br>攻击：一百五十<br>状态：煌荣<br>破甲，周围一格内友方攻击提升三百点	i00375	3,5
10576	6	两仪	制作需求：打铁一百，阴阳棍一把，钛金属10份。<br>攻击：一百二十<br>反击：20%  闪避：10%	i00376	3,5
10577	6	拈花	制作需求：打铁一百，少林棍一把，钛金属10份。<br>攻击：一百<br>状态：拈花<br>暴击时点穴、闪避时净化	i00377	3,5
10578	6	北斗	制作需求：打铁一百，天罡棍一把，钛金属10份。<br>攻击：一百一十<br>状态：北斗<br>减伤5%，横练，周围一格内友方防御提升二百五十点	i00379	3,5
10579	6	大圣	制作需求：打铁一百，齐天棍一把，钛金属10份。<br>攻击：一百三十<br>状态：大圣<br>觔斗：神行，定海：缚身，火眼：破绽，石猴：减伤5%	i00380	3,5
10580	6	紫京	制作需求：打铁一百，金钱镖一组，钛金属10份。<br>攻击：八十<br>状态：目盲、恐惧	i00382	3,5
10581	6	赤蝗	制作需求：打铁一百，飞蝗石一组，钛金属10份。<br>攻击：五十<br>状态：流血、破甲	i00383	3,5
10582	6	飞梅	制作需求：打铁一百，梅花镖一组，钛金属10份。<br>攻击：七十<br>状态：飞梅<br>中毒，暴击时额外追加二百至五百点伤害	i00384	3,5
10583	6	玉霄	制作需求：打铁一百，如意珠一组，钛金属10份。<br>攻击：九十<br>状态：玉霄<br>闪避+20%，周围一格内友方回复气血10%	i00385	3,5
10584	6	阎罗	制作需求：打铁一百，判官笔一把，钛金属10份。<br>攻击：八十<br>状态：阎罗<br>绝对命中、恐惧	i00512	3,5
10585	6	天鸣	制作需求：打铁一百，碧箫笔一把，钛金属10份。<br>攻击：一百一十<br>状态：天鸣<br>周围一格内友方回复气血15%，闪避提升15%	i00513	3,5
10586	6	诛逆	制作需求：打铁一百，钢爪笔一把，钛金属10份。<br>攻击：九十<br>状态：诛逆<br>捉影、重伤、断筋	i00515	3,5
10587	6	定露	制作需求：打铁一百，铁骨扇一把，钛金属10份。<br>攻击：一百<br>状态：定露<br>反击15%，破甲，缚身	i00275	3,5
10588	6	墨客	制作需求：打铁一百，清风扇一把，钛金属10份。<br>攻击：九十<br>状态：墨客<br>闪避15%，闪避后净化	i00281	3,5
